6.9	1.27084
6.89961	1.2709
6.89844	1.27106
6.89648	1.27134
6.89376	1.27172
6.89027	1.2722
6.88601	1.27278
6.88101	1.27346
6.87527	1.27424
6.8688	1.2751
6.86163	1.27604
6.85376	1.27707
6.84522	1.27816
6.83602	1.27932
6.82619	1.28054
6.81575	1.28182
6.80473	1.28314
6.79314	1.2845
6.78102	1.28589
6.7684	1.28731
6.7553	1.28875
6.74176	1.2902
6.7278	1.29166
6.71347	1.29312
6.69879	1.29457
6.68379	1.296
6.66852	1.29741
6.65301	1.2988
6.63729	1.30014
6.6214	1.30143
6.60538	1.30267
6.58927	1.30385
6.57309	1.30495
6.55691	1.30597
6.54073	1.3069
6.52462	1.30773
6.5086	1.30846
6.49271	1.30907
6.47699	1.30956
6.46148	1.30992
6.44621	1.31014
6.43121	1.31021
6.41653	1.31014
6.4022	1.30992
6.38824	1.30954
6.3747	1.309
6.3616	1.3083
6.34898	1.30744
6.33686	1.30643
6.32527	1.30526
6.31425	1.30394
6.30381	1.30247
6.29398	1.30085
6.28478	1.2991
6.27624	1.29722
6.26837	1.29522
6.2612	1.2931
6.25473	1.29087
6.24899	1.28855
6.24399	1.28613
6.23973	1.28362
6.23624	1.28104
6.23352	1.27838
6.23156	1.27565
6.23039	1.27285
6.23	1.27
6.23039	1.26715
6.23156	1.26435
6.23352	1.26162
6.23624	1.25896
6.23973	1.25638
6.24399	1.25387
6.24899	1.25145
6.25473	1.24913
6.2612	1.2469
6.26837	1.24478
6.27624	1.24278
6.28478	1.2409
6.29398	1.23915
6.30381	1.23753
6.31425	1.23606
6.32527	1.23474
6.33686	1.23357
6.34898	1.23256
6.3616	1.2317
6.3747	1.231
6.38824	1.23046
6.4022	1.23008
6.41653	1.22986
6.43121	1.22979
6.44621	1.22986
6.46148	1.23008
6.47699	1.23044
6.49271	1.23093
6.5086	1.23154
6.52462	1.23227
6.54073	1.2331
6.55691	1.23403
6.57309	1.23505
6.58927	1.23615
6.60538	1.23733
6.6214	1.23857
6.63729	1.23986
6.65301	1.2412
6.66852	1.24259
6.68379	1.244
6.69879	1.24543
6.71347	1.24688
6.7278	1.24834
6.74176	1.2498
6.7553	1.25125
6.7684	1.25269
6.78102	1.25411
6.79314	1.2555
6.80473	1.25686
6.81575	1.25818
6.82619	1.25946
6.83602	1.26068
6.84522	1.26184
6.85376	1.26293
6.86163	1.26396
6.8688	1.2649
6.87527	1.26576
6.88101	1.26654
6.88601	1.26722
6.89027	1.2678
6.89376	1.26828
6.89648	1.26866
6.89844	1.26894
6.89961	1.2691
6.9	1.26916
